USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
TX,48291,1383931,Liberty County,3000284900,46411807,1158.417,17.92,30.162189,-94.822682
TX,48293,1383932,Limestone County,2344684360,72198941,905.288,27.876,31.547543,-96.593623
TX,48295,1383933,Lipscomb County,2414332816,298741,932.179,0.115,36.2802,-100.272683
TX,48297,1383934,Live Oak County,2692800935,101483813,1039.696,39.183,28.351535,-98.126961
TX,48299,1383935,Llano County,2419137915,82419109,934.034,31.822,30.707584,-98.68469
TX,48301,1383936,Loving County,1732507837,20151864,668.925,7.781,31.844936,-103.561229
TX,48303,1383937,Lubbock County,2319591231,13211521,895.599,5.101,33.611469,-101.819944
TX,48305,1383938,Lynn County,2309924936,4169699,891.867,1.61,33.178412,-101.818493
TX,48307,1383945,McCulloch County,2759886938,20285000,1065.598,7.832,31.205477,-99.359856
TX,48309,1383946,McLennan County,2686079968,59905775,1037.101,23.13,31.549493,-97.201472
TX,48311,1383947,McMullen County,2951100162,44960041,1139.426,17.359,28.384922,-98.578853
TX,48313,1383939,Madison County,1207102873,16493751,466.065,6.368,30.966878,-95.930372
TX,48315,1383940,Marion County,986475529,102154831,380.88,39.442,32.797757,-94.357673
TX,48317,1383941,Martin County,2369694111,1931847,914.944,0.746,32.30983,-101.961836
TX,48319,1383942,Mason County,2405588947,8834406,928.803,3.411,30.703232,-99.237608
TX,48321,1383943,Matagorda County,2849700666,1326679773,1100.276,512.234,28.783341,-95.997755
TX,48323,1383944,Maverick County,3313264152,32425873,1279.258,12.52,28.745217,-100.311368
TX,48325,1383948,Medina County,3432656186,23769485,1325.356,9.177,29.353661,-99.111085
TX,48327,1383949,Menard County,2336245942,613559,902.03,0.237,30.883707,-99.854936
TX,48329,1383950,Midland County,2331764835,4533910,900.299,1.751,31.870896,-102.024326
TX,48331,1383951,Milam County,2633837445,12538897,1016.93,4.841,30.791242,-96.984395
TX,48333,1383952,Mills County,1937987484,3902577,748.261,1.507,31.494888,-98.594623
TX,48335,1383953,Mitchell County,2359711652,12489897,911.09,4.822,32.303781,-100.92458
TX,48337,1383954,Montague County,2411034772,19087292,930.906,7.37,33.676289,-97.724747
TX,48339,1383955,Montgomery County,2698080682,91022528,1041.735,35.144,30.302364,-95.503523
TX,48341,1383956,Moore County,2330188778,25718171,899.691,9.93,35.835676,-101.890502
TX,48343,1383957,Morris County,652637107,17394113,251.985,6.716,33.116466,-94.731265
TX,48345,1383958,Motley County,2562954830,642801,989.562,0.248,34.058383,-100.793696
TX,48347,1383959,Nacogdoches County,2451520148,89745988,946.537,34.651,31.62056,-94.62025
TX,48349,1383960,Navarro County,2614922711,197639165,1009.627,76.309,32.04845,-96.476908
TX,48351,1383961,Newton County,2418212417,15672105,933.677,6.051,30.786718,-93.73925
TX,48353,1383962,Nolan County,2362061553,5052677,911.997,1.951,32.312338,-100.418108
TX,48355,1383963,Nueces County,2171658351,847226454,838.482,327.116,27.739406,-97.521643
TX,48357,1383964,Ochiltree County,2376642415,1331778,917.627,0.514,36.278744,-100.815864
TX,48359,1383965,Oldham County,3886363298,2338030,1500.533,0.903,35.401921,-102.59762
TX,48361,1383966,Orange County,864197805,118779621,333.669,45.861,30.120918,-93.893358
TX,48363,1383967,Palo Pinto County,2465126895,87327962,951.791,33.718,32.75221,-98.317974
TX,48365,1383968,Panola County,2076521423,50644794,801.749,19.554,32.163978,-94.305156
TX,48367,1383969,Parker County,2339997883,17135889,903.478,6.616,32.777096,-97.805905
TX,48369,1383970,Parmer County,2281204393,11344140,880.778,4.38,34.532163,-102.784853
TX,48371,1383971,Pecos County,12338306457,2532276,4763.847,0.978,30.770894,-102.71986
TX,48373,1383972,Polk County,2737858277,136147278,1057.093,52.567,30.784553,-94.837338
TX,48375,1383973,Potter County,2352666798,35275220,908.37,13.62,35.398675,-101.893804
TX,48377,1383974,Presidio County,9985016638,1773160,3855.237,0.685,30.005891,-104.261619
TX,48379,1383975,Rains County,594278071,76082424,229.452,29.376,32.87058,-95.79544
TX,48381,1383976,Randall County,2360887059,28191926,911.544,10.885,34.962529,-101.895547
TX,48383,1383977,Reagan County,3044015959,1792716,1175.301,0.692,31.372895,-101.513901
TX,48385,1383978,Real County,1810906179,2346315,699.195,0.906,29.82303,-99.805303
TX,48387,1383979,Red River County,2684724244,52208060,1036.578,20.158,33.619625,-95.048429
TX,48389,1383980,Reeves County,6825588429,17396749,2635.375,6.717,31.308366,-103.712706
TX,48391,1383981,Refugio County,1995440836,123798787,770.444,47.799,28.312496,-97.160479
TX,48393,1383982,Roberts County,2393298505,346847,924.058,0.134,35.836216,-100.807555
TX,48395,1383983,Robertson County,2216209138,25046086,855.683,9.67,31.025481,-96.514941
TX,48397,1383984,Rockwall County,329020647,56154384,127.036,21.681,32.889216,-96.407501
TX,48399,1383985,Runnels County,2721933935,15930080,1050.945,6.151,31.833311,-99.967856
TX,48401,1383986,Rusk County,2393217679,37244181,924.027,14.38,32.109423,-94.756382
TX,48403,1383987,Sabine County,1272694571,220821460,491.39,85.26,31.3433,-93.851913
TX,48405,1383988,San Augustine County,1374395555,159647152,530.657,61.64,31.382449,-94.16318
TX,48407,1383989,San Jacinto County,1474331589,151948930,569.243,58.668,30.574218,-95.162852
TX,48409,1383990,San Patricio County,1796028941,37539463,693.451,14.494,28.011782,-97.517165
TX,48411,1383991,San Saba County,2940404691,8072103,1135.297,3.117,31.155138,-98.819292
TX,48413,1383992,Schleicher County,3394517068,87401,1310.63,0.034,30.896233,-100.527216
TX,48415,1383993,Scurry County,2345088415,5439993,905.444,2.1,32.744462,-100.913399
TX,48417,1383994,Shackelford County,2367989977,3268197,914.286,1.262,32.743788,-99.347045
TX,48419,1383995,Shelby County,2060551461,101096376,795.583,39.034,31.790137,-94.142565
TX,48421,1383996,Sherman County,2390650564,428754,923.035,0.166,36.277628,-101.894716
TX,48423,1383997,Smith County,2386555662,73211865,921.454,28.267,32.377093,-95.26963
TX,48425,1383998,Somervell County,482937084,14222771,186.463,5.491,32.217942,-97.769211
TX,48427,1383999,Starr County,3168018574,15302285,1223.179,5.908,26.546335,-98.715803
TX,48429,1384000,Stephens County,2322492721,64133847,896.719,24.762,32.731531,-98.840081
TX,48431,1384001,Sterling County,2391727824,167453,923.451,0.065,31.835774,-101.054911
TX,48433,1384002,Stonewall County,2373240591,10177654,916.313,3.93,33.17958,-100.253807
TX,48435,1384003,Sutton County,3765651337,1277067,1453.926,0.493,30.517865,-100.505395
TX,48437,1384004,Swisher County,2305501907,27278704,890.159,10.532,34.53046,-101.732852
TX,48439,1384005,Tarrant County,2236735560,100223390,863.608,38.696,32.77204,-97.291291
TX,48441,1384006,Taylor County,2371267567,9721168,915.552,3.753,32.295684,-99.89322
TX,48443,1384007,Terrell County,6107258291,105938,2358.026,0.041,30.232332,-102.072539
TX,48445,1384008,Terry County,2302083249,5443913,888.839,2.102,33.171229,-102.339284
TX,48447,1384009,Throckmorton County,2363499284,7586203,912.552,2.929,33.170712,-99.206137
TX,48449,1384010,Titus County,1051675541,50735856,406.054,19.589,33.214599,-94.966783
TX,48451,1384011,Tom Green County,3941889598,48104792,1521.972,18.573,31.401583,-100.461355
TX,48453,1384012,Travis County,2564612388,84967219,990.202,32.806,30.239513,-97.69127
TX,48455,1384013,Trinity County,1796435449,52733267,693.608,20.36,31.087483,-95.153291
TX,48457,1384014,Tyler County,2394445956,28806206,924.501,11.122,30.769579,-94.379449
TX,48459,1384015,Upshur County,1509825676,24998197,582.947,9.652,32.735878,-94.941649
TX,48461,1384016,Upton County,3215013323,464312,1241.324,0.179,31.353849,-102.042013
TX,48463,1384017,Uvalde County,4019520455,17322264,1551.946,6.688,29.35034,-99.761074
TX,48465,1384018,Val Verde County,8144863995,227711342,3144.75,87.92,29.884961,-101.146646
TX,48467,1384019,Van Zandt County,2182211358,44167094,842.557,17.053,32.558948,-95.836391
TX,48469,1384020,Victoria County,2284739169,17334151,882.143,6.693,28.79637,-96.971198
TX,48471,1384021,Walker County,2030987606,44898006,784.169,17.335,30.74309,-95.569888
TX,48473,1384022,Waller County,1329777937,11365575,513.43,4.388,30.013578,-95.982102
TX,48475,1384023,Ward County,2164200161,624207,835.602,0.241,31.513069,-103.105113
TX,48477,1384024,Washington County,1564232347,46094330,603.954,17.797,30.215075,-96.410272
TX,48479,1384025,Webb County,8706199011,36537745,3361.482,14.107,27.770584,-99.326641
TX,48481,1384026,Wharton County,2813115336,21289070,1086.15,8.22,29.27848,-96.229674
TX,48483,1384027,Wheeler County,2368603566,2481251,914.523,0.958,35.392593,-100.253107
